word,count
"miksi", 10
"nähnyt", 10
"koshevoin", 10
"tuon", 10
"toisen", 10
"ai", 10
"jälelle", 10
"tiedä", 10
"oven", 10
"kappaleiksi", 10
"olikin", 10
"tuolla", 10
"mitenkä", 10
"pitää", 10
"bulban", 10
"silmiin", 10
"tehdä", 10
"sanoen", 10
"antoi", 10
"käsillään", 9
"puolen", 9
"josta", 9
"jäi", 9
"kaikui", 9
"information", 9
"osaston", 9
"vanhat", 9
"nousi", 9
"nämä", 9
"äänellä", 9
"meni", 9
"vaipui", 9
"hetman", 9
"katosi", 9
"kuorman", 9
"naisen", 9
"jotta", 9
"nuoret", 9
"lausua", 9
"uskon", 9
"monet", 9
"tarasin", 9
"uudestaan", 9
"muutamia", 9
"eteen", 9
"alta", 9
"we", 9
"muisti", 9
"saivat", 9
"silmät", 9
"liian", 9
"hiukset", 9
"kaikkien", 9
"agree", 9
"your", 9
"taatto", 9
"minkä", 9
"public", 9
"hänellä", 9
"johon", 9
"tahdo", 9
"ainakin", 9
"jolloin", 9
"eteenpäin", 9
"neitonen", 9
"tahtoi", 9
"etteivät", 9
"riensi", 9
"poikansa", 9
"ostapin", 9
"ylös", 9
"yhteen", 9
"laws", 9
"syrjään", 9
"jatkoi", 8
"heitukka", 8
"kaikkialta", 8
"tapahtunut", 8
"kuulkaa", 8
"kaukana", 8
"voimaa", 8
"täytyy", 8
"oikealle", 8
"takana", 8
"käy", 8
"set", 8
"käski", 8
"luostarin", 8
"domain", 8
"hevosensa", 8
"senkin", 8
"hänkin", 8
"fee", 8
"forth", 8
"kas", 8
"ihminen", 8
"kuolla", 8
"kuoleman", 8
"rivit", 8
"kiovan", 8
"veri", 8
"talon", 8
"molemmat", 8
"hyökkäsi", 8
"hänestä", 8
"kulkivat", 8
"häneltä", 8
"minulla", 8
"vastasi", 8
"juutalaisen", 8
"kaupungista", 8
"juutalaista", 8
"vasten", 8
"mielessään", 8
"toverit", 8
"saattoi", 8
"including", 8
"keskellä", 8
"laski", 8
"vanhan", 8
"herra", 8
"tuntui", 8
"vasemmalle", 8
"saada", 8
"eri", 8
"lähti", 8
"viikset", 8
"tekivät", 8
"maassa", 8
"neljä", 8
"vihollinen", 8
"sjetshiin", 8
"mahdotonta", 8
"nainen", 8
"sanoja", 8
"kasakkaa", 8
"osasto", 8
"osaa", 8
"yksin", 8
"ajamaan", 8
"äidin", 8
"ottanut", 8
"astuivat", 8
"without", 8
"ympärilleen", 8
"puolalaisten", 8
"antanut", 8
"puheli", 8
"välistä", 8
"päinsä", 8
"about", 8
"associated", 8
"kansa", 7
"koshevoiksi", 7
"lähtivät", 7
"siltä", 7
"will", 7
"kädet", 7
"maa", 7
"hetkisen", 7
"pienen", 7
"kohotti", 7
"tahdon", 7
"kunnes", 7
"yön", 7
"väliin", 7
"keskenään", 7
"älköön", 7
"kaikkea", 7
"jälellä", 7
"tatarilainen", 7
"tahtoneet", 7
"section", 7
"naskali", 7
"copies", 7
"permission", 7
"ääni", 7
"which", 7
"vihollisen", 7
"päälle", 7
"viholliset", 7
"kaatui", 7
"osastot", 7
"meitä", 7
"kunnia", 7
"vihollista", 7
"malja", 7
"ebooks", 7
"peitti", 7
"ken", 7
"rannalle", 7
"päivää", 7
"kuluttua", 7
"koira", 7
"joitten", 7
"tätä", 7
"nuoren", 7
"ajoi", 7
"puolalainen", 7
"joissa", 7
"eipä", 7
"kuullut", 7
"kuulleet", 7
"sanaakaan", 7
"provide", 7
"hyvästi", 7
"entäs", 7
"puolet", 7
"tulleet", 7
"vihollisia", 7
"meille", 7
"distributing", 7
"suuren", 7
"puolalaisia", 7
"kokoon", 7
"rakastaa", 7
"aikaa", 7
"ratsut", 7
"matkan", 7
"kuunteli", 7
"matkalla", 7
"suurin", 7
"päähän", 7
"antaa", 7
"poissa", 7
"leipää", 7
"paloi", 7
"oleva", 7
"tarasia", 7
"mieli", 7
"muuten", 7
"miesten", 7
"ritari", 7
"päästä", 7
"ritarin", 7
"heihin", 7
